tag,group,description
显示相关,domain,domain相关标签
影像相关,domain,domain相关标签
声学,domain,domain相关标签
射频相关,domain,domain相关标签
电池,domain,domain相关标签
充电,domain,domain相关标签
无线充电,domain,domain相关标签
通信相关,domain,domain相关标签
安全相关,domain,domain相关标签
热管理,domain,domain相关标签
时钟,domain,domain相关标签
传感器,domain,domain相关标签
制造工艺,process,process相关标签
SMT,process,process相关标签
注塑,process,process相关标签
点胶,process,process相关标签
装配,process,process相关标签
封装,process,process相关标签
PCB,process,process相关标签
EMC,process,process相关标签
测试验证,process,process相关标签
失效分析,process,process相关标签
维修,process,process相关标签
操作,process,process相关标签
可靠性,quality,quality相关标签
ESD,quality,quality相关标签
质量体系,quality,quality相关标签
性能指标,quality,quality相关标签
工艺参数,quality,quality相关标签
外观,quality,quality相关标签
设计,lifecycle,lifecycle相关标签
硬件相关,lifecycle,lifecycle相关标签
软件相关,lifecycle,lifecycle相关标签
结构相关,lifecycle,lifecycle相关标签
项目相关,lifecycle,lifecycle相关标签
流程相关,lifecycle,lifecycle相关标签
物料,material,material相关标签
CMF,material,material相关标签
半导体,material,material相关标签
电气性能,material,material相关标签
电气连接,material,material相关标签
包装,material,material相关标签
功能,function,function相关标签
人机交互,function,function相关标签
用户体验,function,function相关标签
配件,function,function相关标签
组织职责,organization,organization相关标签
供应链,organization,organization相关标签
工具,organization,organization相关标签
部件,other,其他标签
摄像头模组,other,其他标签
ICT,other,其他标签
线缆管理,other,其他标签
系统稳定性,other,其他标签
系统升级,other,其他标签
系统启动,other,其他标签
天线,other,其他标签
基带,other,其他标签
增益,other,其他标签
频段,other,其他标签
调制,other,其他标签
协议,other,其他标签
兼容性,other,其他标签
干扰,other,其他标签
屏蔽,other,其他标签
接地,other,其他标签
滤波,other,其他标签
匹配,other,其他标签
校准,other,其他标签
补偿,other,其他标签
